Year SqFt Acres Value
1990 2102 0.77 203200
1986 1740 0.06 119096
1955 795 0.3 71666
1983 1152 0.68 131103
1967 1752 0.29 144452
1924 1829 0.25 496425
1980 1246 0.29 169187
1989 2264 0.25 243092
1994 3483 0.36 432516
1970 1646 0.29 192794
1990 1188 0.45 58116
1930 1657 0.16 394694
1973 1383 0.46 135298
1985 1212 0.85 124355
1975 2174 0.41 230827
1992 1590 0.17 213300
1981 1901 0.26 226295
1959 1911 0.28 318360
1984 3103 0.95 410025
1959 2514 0.85 263585
1992 4071 0.32 483528
1986 1852 0.27 218228
1988 1178 0.16 119323
1987 2678 0.17 391614
1961 1620 0.61 128105
1986 1024 0.03 74734
1992 2978 0.73 326287
1992 2851 0.22 328222
1992 1638 0.25 180856
1944 1494 0.16 300993
1960 1483 0.31 130450
1962 1547 1 96569
1909 705 0.08 38490
1991 1254 1.1 125929
1949 720 0 136695
1971 1168 0.2 127708
1982 1036 0.18 90091
1963 2340 0.56 201386
1982 1400 0.04 111007
1958 1056 0.2 158149
1986 1704 0.2 142576
1963 2280 0.36 313633
1995 1104 0.51 126439
1980 1556 1.17 215196
1989 1664 0.21 198737
1985 2532 1.53 341050
1965 816 0.39 32184
1976 1285 0.2 122742
1972 1140 0 61829
1960 1546 0.4 267028
1985 1476 0.05 160196
1973 1219 0.21 97958
1984 2553 0.36 317717
1949 1272 0.33 128121
1987 1080 0.3 159332
1967 2112 0.33 195396
1987 968 0 89871
1964 1008 0.33 90040
1986 1771 0.26 233238
1984 1316 0.14 177132
1994 2847 0.36 432023
1998 1782 0.71 132597
1972 1795 0.3 154726
1947 900 0.25 97300
1952 2044 0.42 523366
1992 2145 1.11 250180
1969 1558 0.35 150637
1990 1890 0.18 242102
1990 2912 0.36 379166
1989 2895 0.98 424333
1975 1336 0.37 163800
1984 784 0.59 42193
1981 1984 0.86 324032
1986 1194 0.46 115865
1983 1146 0.28 147948
1976 1140 0.04 153148
1986 1312 0.03 91833
1976 1296 0.43 122492
1972 2194 0.04 184484
1985 1056 0.18 100207
1982 1740 0.26 355716
1986 2535 1.26 431468
1978 1589 1.43 187539
1960 1740 0.47 92749
1984 1550 0.04 159795
1978 1240 0.32 156724
1981 1764 0.66 320419
1972 2921 0.63 230304
1984 1130 0.24 140368
1972 2346 0.27 219985
1967 1420 0.26 116464
1996 2016 0.33 198937
1960 1792 0.5 295116
1995 2930 0.24 349916
1955 1068 0.3 90503
1955 1448 0.56 201733
1956 950 0.71 106816
1991 1370 0.19 135402
